id,host_id,host_is_superhost,neighbourhood_cleansed,longitude,latitude,price,calendar_last_scraped,last_review,calculated_host_listings_count
7730826,17066316,f,Kingston upon Thames,-0.301505117,51.41582523,$60.00,02/02/2016,05/11/2019 00:00,1
9696223,50044324,f,Kingston upon Thames,-0.289192114,51.40869556,$37.00,02/02/2016,05/11/2019 00:00,1
1765414,4755566,f,Kingston upon Thames,-0.274882773,51.42286788,$50.00,02/02/2016,05/11/2019 00:00,1
782346,3534259,t,Kingston upon Thames,-0.281561629,51.41929319258657,$60.00,02/02/2016,05/11/2019 00:00,1
2027129,10412680,f,Kingston upon Thames,-0.297903289,51.41406561092728,$90.00,02/02/2016,05/11/2019 00:00,1
8122554,26485806,f,Kingston upon Thames,-0.292822496,51.41240659795972,$45.00,02/02/2016,05/11/2019 00:00,2
6745039,35316592,t,Kingston upon Thames,-0.304541496,51.41482812447502,$39.00,02/02/2016,05/11/2019 00:00,1
7812336,11828397,f,Kingston upon Thames,-0.294056621,51.40199751630415,$60.00,02/02/2016,05/11/2019 00:00,1
6023551,31035133,f,Kingston upon Thames,-0.256861634,51.40372195073283,$30.00,02/02/2016,05/11/2019 00:00,1
4320006,6543906,f,Kingston upon Thames,-0.259560681,51.38837337207125,$45.00,02/02/2016,05/11/2019 00:00,4
6042456,31358376,f,Kingston upon Thames,-0.267264691,51.40096344273677,$45.00,02/02/2016,05/11/2019 00:00,1
10085459,15082436,f,Kingston upon Thames,-0.291874583,51.40986588350907,$70.00,02/02/2016,05/11/2019 00:00,1
5103987,15579056,f,Kingston upon Thames,-0.263486021,51.40384154568841,$42.00,02/02/2016,05/11/2019 00:00,1
7856474,40868813,f,Kingston upon Thames,-0.301930199,51.37757167623239,$95.00,02/02/2016,05/11/2019 00:00,1
4458068,23107690,f,Kingston upon Thames,-0.303582586,51.42690098460994,$234.00,02/02/2016,05/11/2019 00:00,1
10822914,41888299,f,Kingston upon Thames,-0.297018887,51.42296958818746,$30.00,02/02/2016,05/11/2019 00:00,1
2284438,11629266,f,Kingston upon Thames,-0.309491583,51.39546652813278,$39.00,02/02/2016,05/11/2019 00:00,1
5536091,28704848,f,Kingston upon Thames,-0.301638222,51.413828679306384,$46.00,02/02/2016,05/11/2019 00:00,1
512979,2526745,f,Kingston upon Thames,-0.313561463,51.39182751937918,$47.00,02/02/2016,05/11/2019 00:00,2
5796403,1889832,t,Kingston upon Thames,-0.251452556,51.40240649,$60.00,02/02/2016,05/11/2019 00:00,2
9020269,47094767,f,Kingston upon Thames,-0.286341833,51.419453184080616,$30.00,02/02/2016,05/11/2019 00:00,1
7327883,2526745,f,Kingston upon Thames,-0.310918625,51.39064615055261,$25.00,02/02/2016,05/11/2019 00:00,2
2714787,13892353,t,Kingston upon Thames,-0.290018139,51.42027101804105,$45.00,02/02/2016,05/11/2019 00:00,1
8882332,46478469,f,Kingston upon Thames,-0.252447146,51.40911701288423,$50.00,02/02/2016,05/11/2019 00:00,1
10913940,56570372,f,Kingston upon Thames,-0.259793432,51.406958598160834,$23.00,02/02/2016,05/11/2019 00:00,1
101886,533409,f,Kingston upon Thames,-0.279545208,51.41450452766642,$65.00,02/02/2016,05/11/2019 00:00,1
4755686,23205798,f,Kingston upon Thames,-0.28257887,51.394834277626735,$150.00,02/02/2016,05/11/2019 00:00,2
3074800,15573617,f,Kingston upon Thames,-0.290723153,51.40856156083973,$100.00,02/02/2016,05/11/2019 00:00,1
5800803,13845085,f,Kingston upon Thames,-0.255042778,51.43669600093888,$65.00,02/02/2016,05/11/2019 00:00,1
9339731,48473937,f,Kingston upon Thames,-0.307668805,51.40780029170177,$60.00,02/02/2016,05/11/2019 00:00,1
6788309,35538688,f,Kingston upon Thames,-0.308122075,51.39335825094581,$110.00,02/02/2016,05/11/2019 00:00,1
6875789,25556139,f,Kingston upon Thames,-0.290536058,51.42035205351449,$185.00,02/02/2016,05/11/2019 00:00,1
6143797,31869639,f,Kingston upon Thames,-0.297040685,51.38444875098662,$90.00,02/02/2016,05/11/2019 00:00,1
10030742,51496319,f,Kingston upon Thames,-0.267939836,51.40257957505538,$27.00,02/02/2016,05/11/2019 00:00,1
1604261,4237663,f,Kingston upon Thames,-0.294934947,51.40538290650482,$135.00,02/02/2016,05/11/2019 00:00,1
8448233,9529773,f,Kingston upon Thames,-0.302192597,51.38727978373857,$69.00,02/02/2016,05/11/2019 00:00,1
4356007,22611343,t,Kingston upon Thames,-0.289594283,51.414745541053314,$325.00,02/02/2016,05/11/2019 00:00,2
